region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19323,NA19323,-0.0473,0.0068,-0.0142,-0.0123,-0.0012,-0.0089,-0.0103,-0.0452,-0.0275,-0.0542,-0.0455,-0.0039,-0.0784,0.0063,0.0567
AFR,LWK,NA19324,NA19324,-0.0535,-0.0176,-0.0037,-0.0174,0.0504,0.0543,0.0038,0.0236,0.0206,0.0094,-0.008,0.0044,0.0693,0.0188,0.0051
AFR,LWK,NA19327,NA19327,-0.0498,-0.0171,-0.0359,-0.0443,0.1051,0.0023,-0.0628,0.008,-0.0192,-0.0224,-0.0038,0.0092,-0.0248,0.0555,0.0355
AFR,LWK,NA19328,NA19328,-0.0553,0.002,0.0109,0.0087,-0.0007,0.0014,0.0452,0.0086,0.0281,-0.0008,-0.02,0.0126,-0.0167,0.0381,0.0336
AFR,LWK,NA19331,NA19331,-0.0582,-0.0192,0.0004,-0.0428,-0.0272,0.0062,0.0468,0.0011,-0.0051,-0.0058,-0.009,0.0168,0.0172,0.0289,-0.001
AFR,LWK,NA19332,NA19332,-0.061,-0.0225,-0.052,0.0088,0.0164,0.0061,-0.0465,-0.0099,0.0111,-0.0002,0.0405,0.0038,-0.0292,0.0154,-0.005
AFR,LWK,NA19334,NA19334,-0.0558,-0.0193,-0.0041,-0.0457,-0.0281,0.0083,0.0513,0.0148,-0.0039,-0.0437,-0.0104,-0.013,-0.0053,0.0079,-0.0159
AFR,LWK,NA19338,NA19338,-0.0468,0.0056,-0.0279,-0.0221,0.0188,-0.0376,-0.0414,0.0096,0.0427,0.0361,-0.0393,-0.003,-0.0686,0.067,0.0695
AFR,LWK,NA19346,NA19346,-0.0561,0.0118,-0.0123,0.0071,0.009,-0.009,0.006,-0.046,-0.0131,0.0181,-0.042,0.0019,-0.0357,-0.0147,0.0187
AFR,LWK,NA19347,NA19347,-0.0564,-0.0056,-0.0369,-0.0504,-0.0132,-0.0279,0.0112,-0.0249,-0.0331,0.021,-0.0049,0.0322,0.0298,0.0091,-0.011
AFR,LWK,NA19350,NA19350,-0.056,-0.0185,0.0454,0.0073,-0.0488,0.0283,-0.0164,0.044,0.0052,0.0027,-0.0314,-0.0413,0.0348,-0.0197,0.0563
AFR,LWK,NA19351,NA19351,-0.0509,-0.0041,-0.0217,-0.0092,0.0443,0.0035,-0.033,-0.0132,-0.0164,-0.0141,0.0467,0.0231,-0.009,0.0076,0.0396
AFR,LWK,NA19355,NA19355,-0.0493,0.0092,-0.0099,-0.0015,-0.0075,0.0237,-0.0133,-0.0389,-0.0281,0.003,0.0504,-0.0144,0.0539,-0.0189,0.0534
AFR,LWK,NA19360,NA19360,-0.0533,-0.0055,-0.0309,0.0142,-0.0379,0.002,-0.0258,-0.0364,0.0074,-0.0297,0.0336,-0.0108,-0.0023,0.0356,0.0715
AFR,LWK,NA19372,NA19372,-0.0598,-0.0116,-0.0209,-0.0179,0.0437,-0.0022,-0.0427,0.006,-0.0177,-0.0116,0.0077,0.008,-0.024,0.0254,-0.052
AFR,LWK,NA19374,NA19374,-0.0662,-0.0015,-0.0062,-0.0056,-0.003,-0.0138,-0.0087,-0.0151,-0.0124,-0.0085,-0.0021,-0.0115,0.0167,0.0002,-0.0143
AFR,LWK,NA19375,NA19375,-0.0437,0.0268,-0.0015,0.012,-0.0131,-0.0434,0.0166,0.0351,0.0426,0.0214,0.0278,-0.0683,-0.0623,-0.0533,-0.0198
AFR,LWK,NA19376,NA19376,-0.0503,0.017,-0.0044,0.0125,-0.0087,-0.0275,-0.0078,0.0021,0.0378,0.0014,0.0123,0.0243,-0.0426,-0.0327,0.0125
