region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
EUR,IBS,HG01522,HG01522,0.0117,0.0416,-0.0207,-0.0217,-0.0001,0.0039,-0.0389,0.0103,0.0084,-0.0073,-0.0155,0.0024,0.0009,-0.0079,-0.0055
EUR,IBS,HG01524,HG01524,0.0093,0.0397,-0.0186,-0.0236,0.0029,-0.013,-0.0204,-0.0034,0.0028,-0.0072,-0.0014,0.0027,0.0068,-0.0203,-0.0118
EUR,IBS,HG01525,HG01525,0.0091,0.0386,-0.0171,-0.0184,-0.0032,-0.008,-0.0067,-0.0006,0.0065,0.0016,0.0009,0.02,0.0037,0.0019,-0.0035
EUR,IBS,HG01527,HG01527,0.0064,0.0388,-0.0176,-0.021,0.0019,-0.0138,-0.0069,0.0045,-0.0037,-0.0088,-0.0044,0.0245,-0.0043,0.0161,-0.0061
EUR,IBS,HG01528,HG01528,0.0093,0.0398,-0.0187,-0.0232,0.0028,-0.0128,-0.0206,-0.0052,0.0025,0.0105,-0.0175,0.0164,-0.0048,0.0046,0.0142
EUR,IBS,HG01530,HG01530,0.0087,0.0404,-0.0182,-0.0251,-0.0018,-0.0097,-0.0159,0.006,0.0129,-0.0063,-0.0025,-0.0048,-0.0178,-0.0076,-0.0043
EUR,IBS,HG01531,HG01531,0.0084,0.0388,-0.0204,-0.0206,0.006,0.0039,-0.0195,0.0207,0.0064,-0.0044,0.0095,0.0035,0.0082,-0.0055,0.0009
EUR,IBS,HG01536,HG01536,0.0096,0.0406,-0.0168,-0.0276,0.0027,0.0147,0.0088,-0.0027,-0.0116,0.0115,-0.0233,0.0144,0.0066,-0.0036,-0.0034
EUR,IBS,HG01537,HG01537,0.0105,0.0402,-0.0187,-0.017,0.0045,0.0059,-0.0051,0.0006,0.0019,0.011,-0.0016,0.0177,-0.0006,-0.0017,-0.0021
EUR,IBS,HG01602,HG01602,0.0087,0.0397,-0.0184,-0.0195,-0.0003,0.006,-0.0319,0.0005,-0.0024,-0.0068,-0.0235,0.0004,-0.0089,0.0114,-0.0038
EUR,IBS,HG01603,HG01603,0.0089,0.0423,-0.019,-0.0225,-0.0049,0.0087,-0.0008,0.007,0.0116,-0.0186,-0.0144,0.0252,-0.0069,-0.0001,0.0074
EUR,IBS,HG01605,HG01605,0.009,0.0396,-0.019,-0.0174,0.0094,-0.0039,-0.0028,0.0052,0.0044,0.0133,-0.0055,-0.0035,-0.0165,-0.0087,0.0043
EUR,IBS,HG01606,HG01606,0.0101,0.042,-0.0199,-0.0224,0.0023,0.0097,-0.0048,-0.0149,0.0207,-0.0096,-0.005,-0.0018,0.0177,-0.0143,-0.0075
