region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,0.056402309658289844,-0.011526901804491303,0.0017,0.0015,0.0046,-0.0079,0.0221,-0.0037,0.0226,0.018,-0.0024,0.0178,-0.013,0.0042,0.0219
AFR,LWK,NA19019,NA19019,0.05369816609854518,-0.0046612184730019,0.0144,0.0023,-0.0122,0.0199,0.0391,0.0277,0.0131,-0.0465,-0.0069,0.0047,-0.01,0.0306,-0.0055
AFR,LWK,NA19020,NA19020,0.052749652414147474,-0.009697121747540668,0.0112,0.0246,0.0216,0.0221,0.0267,0.0091,0.0319,-0.0062,0.0234,-0.0045,-0.0127,-0.0045,-0.044
AFR,LWK,NA19023,NA19023,0.05695542993187397,0.020750397617284214,0.0474,-0.0108,-0.0558,-0.0025,-0.0305,-0.0258,-0.01,-0.0345,0.0411,-0.0616,-0.0174,0.037,-0.0156
AFR,LWK,NA19024,NA19024,0.050572576361477536,0.01669833884440376,0.0216,-0.0295,-0.0359,0.0404,-0.0393,0.0503,-0.042,-0.0185,0.0754,0.002,-0.0218,-0.0688,0.0107
AFR,LWK,NA19025,NA19025,0.05625363817305245,-0.009807048092841004,-0.0104,-0.0244,0.0302,-0.0135,0.0119,-0.0191,-0.0267,-0.0371,0.0144,0.006,-0.0013,0.0015,-0.0036
AFR,LWK,NA19026,NA19026,0.054629014374312564,0.00017546649580688772,-0.0126,0.0297,0.0324,0.0249,-0.0053,0.0117,0.0214,-0.0101,-0.0102,0.0022,0.0307,0.0712,-0.0278
AFR,LWK,NA19027,NA19027,0.0534660663809529,-0.006146523061661609,0.0135,-0.0078,0.0307,-0.0255,0.0057,-0.0181,-0.0052,0.0396,0.0169,-0.0223,-0.0711,-0.0006,0.0826
AFR,LWK,NA19028,NA19028,0.04746353866695007,0.002015563745192867,0.0208,-0.0337,0.0156,0.0186,0.0133,0.0135,0.0922,-0.0553,0.0089,-0.0346,-0.0837,0.0446,0.0463
AFR,LWK,NA19030,NA19030,0.06081361455625715,-0.0002725520188675409,-0.0071,-0.0456,0.0036,-0.0165,-0.024,-0.0231,0.0081,-0.0428,-0.0012,-0.0258,0.0462,0.0159,-0.0228
AFR,LWK,NA19031,NA19031,0.05542195370371398,-0.002203871063239419,0.0051,-0.0442,0.0071,0.0076,0.0268,-0.0188,0.0393,0.0421,-0.0338,0.0194,0.0551,-0.0109,-0.0142
AFR,LWK,NA19035,NA19035,0.057842040461659604,0.004709390112502191,-0.0402,-0.0386,-0.0132,-0.0146,-0.0127,-0.013,-0.0048,-0.0344,-0.0535,-0.0047,-0.0271,0.0685,0.009
AFR,LWK,NA19036,NA19036,0.057785629913092246,0.009734011277327488,0.0252,0.0303,-0.027,0.0156,0.0084,-0.0048,-0.0246,0.0088,0.0094,-0.0661,-0.0131,-0.0514,-0.0286
AFR,LWK,NA19037,NA19037,0.05550196761339242,0.0066235633190858305,-0.004,0.0288,0.0124,-0.0187,0.0128,-0.0607,-0.0375,0.0357,-0.0165,-0.0561,-0.0488,-0.0476,-0.0178
AFR,LWK,NA19038,NA19038,0.060402411346963523,-0.0026455062789970158,0.0118,0.0321,0.0203,-0.0178,0.0059,-0.0007,0.0107,0.0397,-0.0394,-0.0088,0.0311,-0.0301,0.0494
AFR,LWK,NA19041,NA19041,0.06508359618518203,0.00938805132091637,-0.028,-0.0093,0.0054,-0.0105,-0.0369,-0.0263,-0.0092,0.0022,-0.0039,0.0008,-0.0175,0.0037,-0.0165
AFR,LWK,NA19042,NA19042,0.05330707770328017,-0.007939487813231443,0.0129,0.0269,0.0219,0.0208,0.031,0.0234,0.0398,0.0422,0.0267,-0.0105,-0.0424,-0.004,0.071
AFR,LWK,NA19043,NA19043,0.0508345142902857,-0.007519451899622663,0.0022,0.0288,-0.0152,0.0256,-0.0024,0.0335,-0.0091,-0.0155,0.0338,-0.0699,-0.0135,-0.0247,0.0015
