region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19324,NA19324,0.06245752771788487,0.0003274620125194982,-0.0648,-0.0181,-0.009,0.0158,0.0282,-0.0202,0.0188,0.0252,0.0088,0.0219,-0.0136,-0.0102,-0.0077
AFR,LWK,NA19327,NA19327,0.05849196071108439,-0.001323076782715398,-0.0779,0.0072,0.0106,-0.0123,-0.0252,-0.043,0.0493,-0.0113,0.0474,-0.0358,-0.0343,0.0456,-0.0564
AFR,LWK,NA19328,NA19328,0.06150879014898392,-0.0009374083465908435,-0.0874,-0.0159,0.0081,-0.0171,-0.0201,0.0103,-0.0047,0.0272,-0.0227,0.0734,0.0312,-0.0458,-0.0081
AFR,LWK,NA19332,NA19332,0.06203122332868405,-0.0003568365829401971,-0.0731,0.0118,0.0041,-0.0013,-0.0006,0.0025,-0.0548,-0.0174,0.0259,0.0451,0.0297,-0.05,-0.0049
AFR,LWK,NA19338,NA19338,0.060264068167275336,-0.0020909538325823832,-0.0743,0.0018,-0.007,-0.0031,0.0055,0.0061,0.0224,0.0196,0.0058,-0.0137,0.0572,0.1005,0.0066
AFR,LWK,NA19346,NA19346,0.06262319215429933,-0.0005794863291778017,-0.0841,0.0049,-0.0003,-0.0003,0.0433,0.0052,-0.0629,-0.0293,-0.0511,0.0791,-0.0163,-0.0046,0.037
AFR,LWK,NA19347,NA19347,0.060390589123013656,-0.0013952581751580577,-0.0693,-0.0023,0.0005,0.0064,0.0071,-0.0084,0.0227,-0.0031,0.0222,-0.0166,-0.0009,-0.0255,0.0132
AFR,LWK,NA19350,NA19350,0.060351445642337506,0.00020738582396356798,-0.0843,-0.0038,-0.0063,-0.0149,-0.0222,-0.048,0.034,0.009,0.005,0.005,0.0561,0.0138,-0.0958
AFR,LWK,NA19351,NA19351,0.06290398048448745,-0.001090522446913291,-0.0833,-0.0118,-0.0106,0.0056,0.0056,-0.0296,-0.0018,-0.0033,0.0122,-0.0983,-0.0101,-0.0151,-0.0158
AFR,LWK,NA19355,NA19355,0.060700616344313424,0.0014950503070031707,-0.0816,-0.004,0.0013,0.0059,0.0094,0.0555,0.0723,0.081,-0.0967,-0.064,0.0268,0.1166,0.0753
