region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19323,NA19323,0.0551,0.0014,-0.0045,-0.019,0.029,-0.0372,0.012,-0.0199,-0.0101,0.0009,0.0411,-0.0066,0.0162,0.0108,-0.0283
AFR,LWK,NA19324,NA19324,0.0591,-0.0075,0.0159,-0.0386,0.0042,-0.012,-0.0155,0.018,0.0087,-0.0065,-0.0017,0.0055,0.0074,0.0123,-0.0055
AFR,LWK,NA19327,NA19327,0.0554,-0.0087,0.0094,-0.0174,0.0088,-0.0298,0.0169,0.0376,-0.0202,-0.0355,0.0241,-0.0045,-0.0106,0.0065,0.017
AFR,LWK,NA19328,NA19328,0.0587,0.0009,0.0113,-0.0081,-0.0159,0.0038,-0.0083,-0.013,0.0101,0.0064,0.0182,-0.0474,0.0044,-0.0147,-0.0191
AFR,LWK,NA19331,NA19331,0.057,-0.0084,-0.0126,0.0159,-0.0185,-0.0028,0.0172,0.0127,-0.0137,-0.0049,-0.0218,-0.0172,-0.0151,0.0273,0.004
AFR,LWK,NA19332,NA19332,0.0601,-0.0093,-0.0003,0.0093,-0.0033,0.0113,-0.0202,0.0402,0.0493,0.0128,-0.0095,0.0261,0.0053,0.0045,-0.0004
AFR,LWK,NA19334,NA19334,0.0574,-0.0112,-0.0185,0.0078,-0.0237,-0.0133,0.0145,-0.0054,0.0022,-0.0098,0.0002,-0.0241,-0.0228,0.0156,-0.0058
AFR,LWK,NA19338,NA19338,0.0538,-0.0046,0.0028,0.0241,-0.0148,-0.014,0.0329,-0.0212,-0.0221,0.0355,0.034,0.028,0.016,-0.0141,0.0128
AFR,LWK,NA19346,NA19346,0.0567,0.0005,0.0072,0.0124,-0.0027,-0.0001,0.0008,0.0312,-0.0377,0.0209,0.0085,0.012,-0.0308,-0.0033,-0.0077
AFR,LWK,NA19347,NA19347,0.0605,-0.0099,0.002,-0.0224,-0.0155,0.0187,0.03,0.0048,-0.0374,-0.0694,0.0202,-0.0068,-0.0224,-0.0367,-0.0029
AFR,LWK,NA19350,NA19350,0.0575,-0.0113,-0.0225,-0.0091,-0.0134,-0.0273,0.0342,-0.0544,-0.008,-0.0036,-0.0217,0.0119,0.0355,0.0311,-0.0122
AFR,LWK,NA19351,NA19351,0.0569,0.0,0.001,-0.0341,0.0036,-0.0307,0.0236,0.0082,-0.0046,0.0424,0.016,0.0301,0.0318,-0.0089,-0.0001
AFR,LWK,NA19355,NA19355,0.056,-0.0108,0.0035,-0.0373,0.0357,-0.0245,-0.009,-0.0098,-0.0034,-0.0211,0.0209,-0.016,-0.0098,0.003,0.0083
AFR,LWK,NA19360,NA19360,0.0544,-0.0131,-0.0051,-0.031,0.0123,0.0204,0.0032,0.0015,0.004,-0.0351,0.0332,0.0105,0.0141,0.0216,-0.0191
AFR,LWK,NA19372,NA19372,0.0592,-0.0212,-0.0109,-0.0015,0.047,0.0176,-0.0444,0.0061,0.0132,0.0255,-0.0608,-0.0121,0.0078,-0.0205,-0.0169
AFR,LWK,NA19374,NA19374,0.0593,-0.005,0.0106,-0.0012,-0.0207,-0.0033,-0.0065,0.0276,-0.0361,0.0026,-0.0131,-0.0134,0.0182,0.0111,-0.0135
AFR,LWK,NA19375,NA19375,0.0487,0.002,-0.0137,0.0022,-0.0001,-0.0476,-0.0071,-0.052,0.0255,0.0142,-0.0141,-0.0518,-0.0061,-0.0055,-0.0165
AFR,LWK,NA19376,NA19376,0.0583,-0.0034,-0.0134,0.0139,-0.0028,-0.0372,-0.0033,-0.0194,-0.0043,0.01,-0.0068,0.0094,0.0256,0.0131,0.019
AFR,LWK,NA19377,NA19377,0.0561,-0.0094,-0.0022,0.0191,-0.0115,-0.0123,0.0021,0.036,-0.0379,-0.0123,-0.0242,-0.0041,-0.0117,-0.009,-0.0319
AFR,LWK,NA19378,NA19378,0.0595,-0.0075,0.0032,-0.0559,-0.011,0.0234,0.053,-0.0223,0.0368,-0.0257,-0.0011,0.004,-0.018,0.0033,0.0179
AFR,LWK,NA19379,NA19379,0.0605,-0.0046,0.0053,0.0068,-0.0089,-0.0078,0.006,-0.0153,-0.022,-0.0005,-0.0,0.0299,-0.0074,-0.0494,-0.0085
