region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19320,NA19320,0.05153829163307985,0.0026181091542583808,0.0136,-0.0223,0.025,0.0253,-0.0342,0.0175,-0.0357,0.0518,0.0224,-0.0069,0.0035,0.014,0.0335
AFR,LWK,NA19321,NA19321,0.05560039457758938,-0.0013289555358888447,0.0053,-0.0193,-0.0043,-0.0288,-0.0117,-0.0537,0.0324,0.0171,-0.0514,-0.0113,-0.0213,-0.0122,-0.0385
AFR,LWK,NA19323,NA19323,0.05337247606402262,-0.004077842419139319,-0.0035,-0.0091,0.0014,0.0309,-0.0314,0.0363,-0.0266,-0.0057,0.0199,0.0266,-0.0004,0.0542,0.0036
AFR,LWK,NA19324,NA19324,0.057406149067446906,-0.0029161703047085393,0.0383,-0.0133,-0.03,0.0046,-0.0346,0.0023,0.05,0.0211,0.0001,-0.0125,-0.007,-0.0173,-0.007
AFR,LWK,NA19327,NA19327,0.056141305108845935,-0.0003922507813499598,-0.007,-0.0226,-0.0191,0.0094,-0.0121,-0.0128,0.0662,0.0314,-0.0061,-0.0182,-0.0492,0.0009,0.0073
AFR,LWK,NA19328,NA19328,0.059015695761003135,-0.003012914510024686,-0.0106,0.0168,-0.0056,-0.0067,0.0271,0.0114,-0.0083,-0.0377,0.0092,-0.02,0.0048,-0.0152,0.006
AFR,LWK,NA19331,NA19331,0.055954903582078365,0.0025017524098747356,0.0314,0.0314,0.0303,-0.0133,-0.0338,0.0238,0.0017,-0.0197,0.0448,0.0184,-0.0306,0.0156,0.0127
AFR,LWK,NA19332,NA19332,0.05845212368250472,-0.005153565465303706,-0.0316,0.0339,-0.0031,0.0034,-0.0159,0.0363,0.008,0.0112,0.0413,-0.0331,0.0029,0.0237,-0.0365
AFR,LWK,NA19334,NA19334,0.05616429627859313,0.003918140315303992,0.0224,0.0274,0.0149,-0.0095,-0.0307,-0.0051,0.0093,-0.0085,0.0246,-0.0008,-0.015,0.0218,0.0056
AFR,LWK,NA19338,NA19338,0.05259036426448638,-0.0028255241157411097,0.0447,-0.0083,0.0532,-0.0311,0.0147,-0.011,0.0166,-0.0012,-0.0269,-0.0137,-0.0032,0.0164,0.0157
AFR,LWK,NA19346,NA19346,0.05622148578326894,-0.003192888397938202,0.0099,-0.0453,-0.0084,-0.0376,-0.0084,-0.0026,0.006,-0.0014,-0.0003,-0.012,0.0121,-0.0266,-0.0201
AFR,LWK,NA19347,NA19347,0.0586676143953682,-0.006943415669278773,0.0528,-0.0244,-0.0093,-0.0031,0.0075,0.0312,0.0101,-0.032,-0.0153,-0.0384,-0.0333,0.0314,0.0212
