region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,-0.0604,-0.009,-0.0028,0.0692,-0.0243,-0.0319,0.0059,0.0584,-0.0188,0.0299,-0.1058,0.0089,-0.0179,0.0108,0.0007
AFR,LWK,NA19019,NA19019,-0.0577,-0.0094,0.0073,0.0398,0.024,-0.0182,0.0541,-0.0026,-0.0199,-0.0748,0.0524,0.027,-0.074,0.0128,-0.0346
AFR,LWK,NA19020,NA19020,-0.0584,-0.0076,0.001,0.0849,-0.0379,0.0101,0.0035,0.0479,0.0122,-0.0033,0.0102,-0.0035,-0.0031,-0.0255,-0.0029
AFR,LWK,NA19023,NA19023,-0.0615,-0.0107,0.0024,0.0674,-0.0472,0.0027,-0.0274,0.003,-0.0977,-0.0504,-0.0227,0.0361,-0.0524,-0.0326,0.005
AFR,LWK,NA19024,NA19024,-0.0534,-0.012,-0.0006,0.0793,0.008,0.0411,0.067,-0.0132,0.0232,-0.0052,-0.0413,0.0639,0.0243,0.1044,-0.0153
AFR,LWK,NA19025,NA19025,-0.0594,-0.0063,0.0037,0.0901,-0.0427,0.0262,0.0497,-0.075,-0.003,0.0172,0.0292,-0.0621,-0.0437,0.0488,0.0122
AFR,LWK,NA19026,NA19026,-0.0553,-0.0113,-0.0087,0.0691,-0.0259,-0.0025,0.0368,0.0021,0.0735,-0.0382,-0.0648,-0.0197,-0.0248,0.0302,0.0219
AFR,LWK,NA19027,NA19027,-0.0556,-0.0097,0.0018,0.0504,-0.0306,-0.0309,-0.0447,0.0277,-0.0095,-0.0306,-0.0561,-0.0936,0.0255,0.0099,0.1335
AFR,LWK,NA19028,NA19028,-0.0528,-0.011,-0.0065,0.0686,-0.0032,0.0113,0.0331,-0.0256,-0.0588,0.0771,0.0207,-0.0058,0.0779,0.0076,-0.0066
AFR,LWK,NA19030,NA19030,-0.0572,-0.0078,-0.0018,0.0527,0.0036,0.0063,-0.0371,-0.0038,0.0168,-0.0399,0.0163,0.0392,0.0436,-0.0226,-0.0239
AFR,LWK,NA19031,NA19031,-0.058,-0.0073,0.0005,0.0764,0.0412,-0.0654,-0.0025,-0.0776,0.0783,0.0432,0.0957,-0.0377,0.0372,0.001,-0.0554
AFR,LWK,NA19035,NA19035,-0.0567,-0.0099,0.0048,0.0226,-0.0415,-0.0552,0.0482,0.0519,0.0333,-0.0255,0.0245,-0.0234,-0.0383,-0.0587,0.0218
AFR,LWK,NA19036,NA19036,-0.0579,-0.0081,0.0029,0.0499,-0.0234,0.007,-0.0497,0.0115,0.0441,0.024,-0.0158,-0.009,0.0007,0.0407,0.0351
AFR,LWK,NA19037,NA19037,-0.0547,-0.0078,-0.0006,0.0917,-0.0375,-0.0071,-0.0493,0.0335,-0.0425,0.025,0.0281,0.0388,-0.0154,-0.0142,-0.0208
AFR,LWK,NA19038,NA19038,-0.0597,-0.0123,0.0044,0.0509,-0.0197,-0.0518,-0.0261,0.0383,-0.0578,-0.0393,0.079,0.0445,0.0036,-0.0183,0.043
AFR,LWK,NA19041,NA19041,-0.0595,-0.0111,0.0017,0.0642,-0.0085,-0.0364,-0.019,0.0369,0.0043,0.003,0.0209,0.0068,-0.0196,-0.0718,-0.0534
AFR,LWK,NA19042,NA19042,-0.0545,-0.0093,-0.0023,0.0363,-0.0155,-0.0144,-0.0472,0.0581,0.0031,-0.0071,-0.079,-0.0973,-0.0068,-0.0388,0.1384
AFR,LWK,NA19043,NA19043,-0.0592,-0.007,-0.0014,0.0818,-0.0027,0.0225,-0.0557,-0.0286,-0.0219,0.0319,-0.068,0.0405,0.039,0.0361,0.0607
AFR,LWK,NA19307,NA19307,-0.0567,-0.0072,0.0027,0.0815,-0.0219,-0.006,0.0044,0.0335,0.0154,-0.0503,0.0713,0.0575,-0.0649,0.0299,-0.0113
AFR,LWK,NA19308,NA19308,-0.0557,-0.0085,-0.0031,0.0548,0.026,-0.0092,-0.0068,0.0395,0.0357,-0.0431,-0.0818,-0.0189,0.0316,0.0264,-0.0223
AFR,LWK,NA19309,NA19309,-0.0637,-0.0092,0.0007,0.0181,0.003,-0.0019,0.0211,-0.0868,0.0704,-0.0231,0.0218,-0.0374,0.0759,-0.033,0.0431
AFR,LWK,NA19310,NA19310,-0.0624,-0.0122,-0.0008,0.0827,0.0355,0.0108,0.0111,0.0006,-0.035,-0.0484,0.0101,-0.0161,-0.0189,-0.0248,0.0438
AFR,LWK,NA19312,NA19312,-0.0579,-0.0121,0.0035,0.1042,-0.0207,-0.0175,0.025,0.0703,-0.0401,-0.0057,0.1008,-0.036,0.0014,-0.0134,0.0095
AFR,LWK,NA19314,NA19314,-0.0577,-0.0081,0.0001,0.1021,0.0065,-0.0118,0.0108,0.0175,-0.0068,0.058,0.0049,0.0242,0.0231,0.0099,0.0065
AFR,LWK,NA19315,NA19315,-0.0591,-0.0064,0.0022,0.0706,0.0255,0.0075,-0.0823,0.0308,0.012,-0.0015,-0.0122,-0.0275,0.0104,-0.0506,0.011
AFR,LWK,NA19316,NA19316,-0.0538,-0.0068,0.0043,0.0681,-0.0081,-0.0009,0.0107,0.022,0.023,0.042,0.0192,0.0663,-0.0156,-0.0182,0.0023
AFR,LWK,NA19317,NA19317,-0.0588,-0.0081,0.0,0.0918,0.0003,0.0168,0.0365,-0.0325,0.017,0.0705,-0.0236,-0.0247,-0.0305,0.0054,0.0236
AFR,LWK,NA19318,NA19318,-0.0597,-0.0096,0.0003,0.0168,-0.0221,-0.0142,-0.0492,0.0311,0.008,0.0137,-0.0563,-0.0586,-0.0207,-0.0052,0.0569
AFR,LWK,NA19319,NA19319,-0.0604,-0.0078,0.0054,0.0645,0.001,-0.0129,0.0453,0.003,0.0558,-0.0038,0.1028,0.0033,0.0235,0.0599,-0.0763
AFR,LWK,NA19320,NA19320,-0.0595,-0.009,-0.0002,0.0767,-0.0087,0.0155,-0.0284,-0.0016,-0.0236,0.0014,-0.0113,-0.0455,-0.0055,0.0207,0.0255
