region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,-0.0508,-0.0021,-0.052,-0.006,-0.0437,-0.0014,-0.0449,0.0194,-0.0478,0.0465,0.0337,0.0907,0.0129,-0.0193,-0.0178
AFR,LWK,NA19019,NA19019,-0.0703,-0.0033,0.095,0.0501,-0.0304,-0.0008,0.0079,0.0573,0.037,-0.0263,0.0192,-0.0124,0.0669,-0.0206,0.0345
AFR,LWK,NA19020,NA19020,-0.0428,0.0064,0.015,0.0517,-0.02,-0.0213,0.02,0.081,-0.0166,-0.0436,0.001,-0.0129,-0.0036,-0.0131,0.0048
AFR,LWK,NA19023,NA19023,-0.0547,-0.0077,-0.0413,0.0178,0.0076,-0.0117,0.0192,0.0123,0.0669,0.0383,0.0371,-0.0144,0.0187,0.0103,0.0051
AFR,LWK,NA19024,NA19024,-0.0536,-0.003,-0.1003,-0.0003,-0.0121,-0.0005,-0.0272,0.039,0.0393,0.0347,0.0107,-0.0318,0.0252,-0.061,0.0121
AFR,LWK,NA19025,NA19025,-0.059,-0.0042,-0.0082,-0.0247,-0.0189,-0.0803,-0.0312,-0.0415,0.0573,-0.0541,0.0345,0.0189,-0.0242,0.055,0.0545
AFR,LWK,NA19026,NA19026,-0.0534,0.0024,0.0205,-0.0101,0.0183,0.0261,-0.0375,0.0327,-0.0176,-0.0364,-0.0429,-0.0401,0.0328,-0.029,-0.0265
AFR,LWK,NA19027,NA19027,-0.0565,0.0105,-0.0703,0.0444,0.0403,-0.0227,-0.0098,-0.0528,0.0129,0.0803,-0.0143,-0.0453,-0.0891,0.0074,-0.0037
AFR,LWK,NA19028,NA19028,-0.0521,-0.0056,-0.0304,-0.0202,-0.0315,-0.0097,-0.0144,0.0345,0.0572,0.0482,0.0255,0.0074,-0.0018,-0.006,-0.0579
AFR,LWK,NA19030,NA19030,-0.0486,0.0038,-0.0464,0.0413,0.0146,0.0174,-0.0105,0.0441,-0.0606,0.0329,-0.05,0.0376,0.0826,-0.0091,0.0464
AFR,LWK,NA19031,NA19031,-0.058,-0.0041,-0.0804,0.004,0.0297,0.0137,0.0104,-0.0496,-0.0388,-0.0072,0.0216,0.0254,-0.0132,0.0038,-0.0276
