region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,-0.0532,-0.0052,0.0058,0.0303,-0.0125,0.0837,-0.0104,0.0119,0.0034,0.0492,0.0027,-0.0212,0.0395,-0.0011,-0.0597
AFR,LWK,NA19019,NA19019,-0.0708,-0.0183,-0.0005,-0.0578,0.0741,0.0131,0.0256,-0.0505,0.0483,-0.0641,-0.0228,0.0038,-0.0222,0.0386,0.0266
AFR,LWK,NA19020,NA19020,-0.0467,-0.0011,-0.0021,0.0116,0.0343,0.0077,0.0098,-0.0446,0.0732,-0.0323,-0.0241,-0.0384,-0.001,-0.0125,0.0294
AFR,LWK,NA19023,NA19023,-0.0572,-0.0089,0.0108,0.0495,-0.0008,-0.039,0.0204,-0.0142,-0.0103,-0.0243,-0.0021,-0.013,0.0412,0.0768,0.006
AFR,LWK,NA19024,NA19024,-0.0555,-0.01,0.0033,0.0873,-0.0415,0.0145,0.0223,0.0467,0.0083,-0.0383,0.0028,-0.0202,0.0469,0.028,-0.011
AFR,LWK,NA19025,NA19025,-0.063,-0.0073,0.0103,0.0307,-0.0109,-0.0308,-0.0928,0.0091,-0.0024,-0.0211,0.0676,-0.0618,-0.0608,-0.0012,0.0416
AFR,LWK,NA19026,NA19026,-0.053,-0.0115,-0.0075,-0.0265,0.0003,0.0042,0.0178,0.0479,0.0264,-0.0412,-0.0592,0.028,-0.0147,-0.0145,-0.0042
AFR,LWK,NA19027,NA19027,-0.0593,-0.0006,-0.0051,0.0677,0.0314,-0.0536,-0.0073,0.0368,-0.0469,0.0192,0.0432,0.043,0.0652,-0.0129,0.0358
AFR,LWK,NA19028,NA19028,-0.0549,-0.0043,0.0145,0.0145,-0.0258,0.0215,0.0332,0.0,-0.0229,-0.0274,-0.0096,-0.0353,0.0373,0.0585,-0.0411
AFR,LWK,NA19030,NA19030,-0.0512,-0.0069,-0.0059,0.0565,0.0204,0.0162,0.0204,0.0137,0.012,0.0487,-0.1133,0.0313,0.0293,0.0098,-0.0081
AFR,LWK,NA19031,NA19031,-0.0589,-0.0122,0.0029,0.0672,-0.0227,-0.0113,0.0169,0.017,-0.0146,0.0483,0.0289,0.0111,-0.0089,-0.0209,-0.0645
AFR,LWK,NA19035,NA19035,-0.0626,-0.0161,-0.0169,0.0233,0.0114,0.0807,0.0155,0.0525,-0.039,-0.0775,0.044,-0.031,0.0179,0.0262,-0.0241
AFR,LWK,NA19036,NA19036,-0.062,-0.0259,0.0184,-0.0027,-0.0345,0.0286,-0.0565,0.0354,0.0524,-0.0068,0.0722,-0.0297,-0.0184,0.0334,-0.0298
