region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,0.0606,-0.0045,-0.0062,-0.0037,0.0071,-0.0029,0.02,0.0324,-0.0117,-0.0001,0.0161,0.0281,0.0465,-0.0125,0.0196
AFR,LWK,NA19019,NA19019,0.0514,0.0031,0.0094,-0.002,-0.0252,0.005,-0.0057,-0.0444,-0.0211,0.0088,-0.045,0.0221,0.0066,-0.0045,0.0297
AFR,LWK,NA19020,NA19020,0.0589,0.0113,0.0095,0.0135,-0.0008,0.017,0.0066,-0.0414,0.0443,-0.0085,0.0074,-0.0213,0.0006,-0.0084,-0.0302
AFR,LWK,NA19023,NA19023,0.0508,0.0248,-0.0029,0.0484,-0.0018,-0.0138,0.009,0.0064,0.0064,-0.0101,-0.0499,-0.0447,-0.0213,0.0079,-0.0368
AFR,LWK,NA19024,NA19024,0.0479,0.0256,-0.0072,0.0031,-0.0633,0.049,0.02,-0.0324,0.0211,-0.05,-0.0474,-0.051,-0.034,-0.0477,-0.0687
AFR,LWK,NA19025,NA19025,0.0562,-0.007,-0.0046,0.0024,0.014,0.0156,0.009,0.0095,-0.0016,0.0157,-0.0027,-0.028,-0.0406,0.0136,-0.0734
AFR,LWK,NA19026,NA19026,0.0536,0.0176,0.0141,0.015,-0.0035,0.031,0.0426,0.017,-0.0072,-0.0414,0.0399,-0.0014,-0.0122,-0.0164,-0.0136
AFR,LWK,NA19027,NA19027,0.0616,0.0082,-0.0203,0.0257,0.0142,-0.0246,-0.0215,0.0159,0.0016,-0.0172,-0.0043,-0.0194,-0.0145,0.0031,-0.0422
AFR,LWK,NA19028,NA19028,0.0548,0.0045,-0.0018,0.0121,0.0026,0.0175,0.0296,-0.0308,-0.0068,0.0182,-0.0052,-0.0291,-0.0259,0.0064,-0.0494
AFR,LWK,NA19030,NA19030,0.063,0.0004,0.0011,-0.0026,0.01,0.0093,-0.0082,0.0135,0.0049,-0.0103,-0.0043,-0.0227,-0.0084,0.0038,-0.036
AFR,LWK,NA19031,NA19031,0.0651,0.0097,-0.028,-0.0299,-0.0214,0.0135,-0.0228,0.0178,0.015,0.0137,0.0043,-0.0107,0.0062,0.0089,0.0044
AFR,LWK,NA19035,NA19035,0.0549,0.0068,0.0202,-0.0119,-0.0108,-0.0117,-0.0402,0.0106,-0.039,0.0361,0.0076,0.056,0.0245,-0.0385,0.0084
AFR,LWK,NA19036,NA19036,0.0573,0.0185,-0.0171,0.0311,0.0111,-0.0215,-0.0026,-0.0202,-0.0096,-0.0169,-0.0003,-0.0662,-0.0224,-0.019,0.002
