region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,0.0538878522877211,-0.01641064824486687,0.0232,-0.0023,-0.0148,0.0164,0.014,-0.0015,0.0043,0.019,-0.0234,-0.0312,0.0223,-0.0182,0.0026
AFR,LWK,NA19019,NA19019,0.05346434957308919,-0.005745722298068206,0.0071,0.0173,0.0047,-0.0135,-0.0296,-0.0077,-0.0361,0.0065,0.0245,0.0091,-0.0175,0.0254,0.0181
AFR,LWK,NA19020,NA19020,0.0532616123989407,-0.012729911416227757,0.0036,0.0075,0.0067,0.01,-0.0012,-0.0083,0.0155,0.0337,0.0185,0.0309,-0.0046,0.014,0.0029
AFR,LWK,NA19023,NA19023,0.05860513823350012,0.011193648763130918,-0.032,0.0267,0.0232,0.0379,0.0233,-0.0048,-0.0474,-0.057,0.0465,0.0361,0.0105,-0.0095,0.0344
AFR,LWK,NA19024,NA19024,0.05439158123254354,-0.0024608720047206495,-0.0077,0.017,0.0035,-0.0173,-0.05,-0.0298,0.0371,-0.0419,0.0567,0.007,-0.0132,-0.0196,0.0299
AFR,LWK,NA19025,NA19025,0.05548139597749125,-0.014982146054181213,-0.0005,-0.024,0.0233,0.0336,0.0174,-0.0083,-0.0246,0.0044,0.012,0.004,-0.0148,0.0027,-0.0258
AFR,LWK,NA19026,NA19026,0.05994726816001743,-0.0010700654890989768,-0.013,0.0197,-0.0404,-0.0268,-0.0135,0.0073,0.0609,0.0244,0.0222,-0.0057,-0.0318,0.0187,0.0051
AFR,LWK,NA19027,NA19027,0.05403527515606916,-0.005955588871630963,-0.0024,0.0258,0.0122,-0.0275,0.016,0.0038,0.0392,0.0119,-0.0018,0.0037,-0.0254,0.0168,-0.0072
AFR,LWK,NA19028,NA19028,0.04831454672951078,-0.010368441267708445,0.0424,-0.0258,0.029,0.0135,0.013,-0.0266,0.0194,-0.0256,-0.0155,-0.0133,0.0096,-0.0326,-0.0278
AFR,LWK,NA19030,NA19030,0.05905535570915564,0.0017449819669837288,-0.0288,-0.0173,0.0529,-0.0047,0.037,-0.0131,0.0128,0.0258,0.0192,-0.0432,-0.0076,0.0164,0.0068
