region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,0.0623,0.0053,0.0177,-0.0053,0.0146,-0.0287,0.0131,0.01,-0.0127,0.033,0.0077,-0.0038,-0.0078,0.0064,0.0022
AFR,LWK,NA19019,NA19019,0.0527,0.0078,-0.0049,0.0118,-0.0021,0.0337,-0.0261,0.0004,0.0256,0.0126,0.0065,0.0008,-0.069,0.0669,0.0254
AFR,LWK,NA19020,NA19020,0.0575,0.0012,-0.0111,-0.0039,0.0036,0.0164,0.0547,-0.0001,0.0015,-0.0224,-0.0271,-0.0179,0.0129,-0.0217,0.0474
AFR,LWK,NA19023,NA19023,0.0501,-0.0095,0.0101,-0.0298,-0.0203,0.0028,-0.0036,-0.0428,0.0176,-0.0497,-0.0314,-0.0235,-0.0498,-0.0391,-0.0321
AFR,LWK,NA19024,NA19024,0.0499,-0.0113,0.0084,0.0481,0.0054,-0.0106,0.0153,-0.0585,0.0008,-0.0587,-0.0864,-0.0264,0.0284,-0.0569,0.0055
AFR,LWK,NA19025,NA19025,0.0527,0.0092,0.0032,-0.0004,0.0145,-0.0033,-0.011,0.0029,0.0225,-0.0552,-0.0398,-0.0118,0.0403,-0.033,-0.0363
AFR,LWK,NA19026,NA19026,0.0512,-0.0103,-0.0205,0.0031,0.014,-0.068,0.0004,-0.0089,-0.0043,-0.0002,-0.0176,-0.0085,0.0063,0.0448,0.055
AFR,LWK,NA19027,NA19027,0.0595,-0.0144,0.0168,-0.0308,-0.0236,0.001,0.0025,-0.0279,0.0077,-0.0276,-0.0255,-0.0266,0.0103,-0.0166,0.0408
AFR,LWK,NA19028,NA19028,0.0523,0.0097,0.0035,-0.0044,0.014,0.0077,-0.0122,0.0143,0.0183,-0.0364,-0.0338,0.0103,0.0297,-0.0108,-0.152
AFR,LWK,NA19030,NA19030,0.0613,0.0006,-0.0027,0.0021,0.0074,0.0009,0.0047,-0.0219,0.0044,-0.0209,-0.023,-0.0152,0.0137,-0.0235,0.0418
AFR,LWK,NA19031,NA19031,0.0639,-0.0157,0.0265,0.0441,0.0004,0.0157,0.0157,-0.0004,-0.0082,-0.0032,0.0091,-0.0005,0.0014,0.0099,-0.0045
AFR,LWK,NA19035,NA19035,0.06,-0.0166,-0.0173,0.0063,-0.0089,0.0148,-0.0279,0.0382,0.0012,0.0309,-0.0168,0.0364,-0.0107,0.0082,0.0216
AFR,LWK,NA19036,NA19036,0.0556,-0.0132,0.0144,-0.0347,-0.0203,0.0163,-0.0124,-0.0272,-0.0467,-0.0303,-0.0123,-0.0427,0.0185,-0.0194,0.0422
AFR,LWK,NA19037,NA19037,0.0412,-0.0212,-0.0036,-0.0294,-0.0142,-0.0171,-0.042,0.0024,-0.02,-0.1028,-0.0094,-0.0427,-0.0075,-0.069,0.0846
AFR,LWK,NA19038,NA19038,0.0619,0.0004,0.0009,-0.0044,0.0089,0.0287,-0.0105,0.002,-0.0544,0.0011,0.0241,-0.0153,0.0094,0.0034,0.0014
AFR,LWK,NA19041,NA19041,0.0559,-0.0125,-0.0111,-0.0013,0.0128,-0.0624,0.0034,0.0063,-0.0137,0.005,-0.0225,0.0021,0.0036,-0.0261,0.0481
