region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19324,NA19324,-0.0658,-0.0118,0.0019,0.0595,0.0172,0.0106,-0.0098,-0.0539,-0.0273,0.0681,-0.0147,-0.027,-0.0323,-0.0233,0.0304
AFR,LWK,NA19327,NA19327,-0.0623,-0.0093,0.0012,0.0746,-0.0077,-0.0154,0.0171,-0.0132,0.0194,-0.0194,-0.0216,-0.0372,0.0131,-0.0181,0.0207
AFR,LWK,NA19328,NA19328,-0.065,-0.0114,0.0006,0.0794,0.016,-0.0031,0.0082,-0.005,0.0337,-0.0686,-0.0434,-0.057,-0.0194,0.0239,-0.0582
AFR,LWK,NA19332,NA19332,-0.0656,-0.011,0.0021,0.0685,-0.0113,-0.0054,-0.0052,0.0441,0.0076,-0.0447,0.0073,-0.0217,-0.0338,0.0119,-0.0045
AFR,LWK,NA19338,NA19338,-0.064,-0.0097,0.0003,0.0688,-0.0033,0.0065,0.0055,0.0014,-0.0681,0.0639,0.0035,0.0685,0.0919,0.0196,0.0249
AFR,LWK,NA19346,NA19346,-0.0658,-0.0121,0.0001,0.0804,-0.0022,0.0044,-0.059,-0.0082,0.0322,-0.0094,-0.0028,0.0181,0.0196,-0.0168,-0.0019
AFR,LWK,NA19347,NA19347,-0.0642,-0.0097,0.0013,0.0703,0.0024,0.0014,-0.0033,0.0024,0.0453,0.0422,0.0563,-0.0445,0.004,0.0359,-0.0246
AFR,LWK,NA19350,NA19350,-0.064,-0.0107,0.0027,0.0874,0.0044,0.0073,0.0167,0.0189,0.0296,0.0368,-0.0778,-0.04,-0.007,0.0255,0.1296
AFR,LWK,NA19351,NA19351,-0.0668,-0.011,0.0013,0.0793,0.0118,0.0122,0.0053,0.0366,-0.044,0.0398,0.057,-0.0102,-0.0329,0.0226,-0.0189
AFR,LWK,NA19355,NA19355,-0.0642,-0.0116,0.0035,0.0763,0.0047,-0.003,-0.0055,-0.07,-0.0637,0.0682,-0.0417,0.0525,0.1322,0.024,-0.054
AFR,LWK,NA19360,NA19360,-0.0653,-0.0109,-0.0003,0.0565,0.0081,0.0076,-0.0168,0.0708,-0.0229,0.029,0.0767,0.0408,0.0978,-0.0196,-0.0616
AFR,LWK,NA19372,NA19372,-0.0663,-0.0111,0.0008,0.0694,0.0163,-0.007,0.0445,0.0047,-0.0042,0.0113,-0.0163,0.0626,-0.1065,0.0669,-0.0028
AFR,LWK,NA19374,NA19374,-0.0631,-0.0113,0.0017,0.0727,0.0045,0.0084,-0.0338,0.0385,0.0029,-0.0176,-0.0025,-0.0002,0.0029,-0.0161,-0.0171
AFR,LWK,NA19375,NA19375,-0.0647,-0.0097,0.0006,0.0803,0.0025,-0.0031,0.0745,0.054,0.005,0.033,0.0155,-0.0152,0.0148,0.0689,0.0649
AFR,LWK,NA19377,NA19377,-0.0658,-0.0097,0.0025,0.0744,0.0173,0.0058,-0.005,0.0844,0.0375,-0.0217,0.0109,0.0081,-0.0084,0.0458,-0.02
AFR,LWK,NA19378,NA19378,-0.0669,-0.0104,0.0019,0.0697,0.0113,-0.0053,0.0138,0.0644,0.0152,-0.0203,-0.0076,-0.0075,-0.0145,0.0089,-0.0531
AFR,LWK,NA19379,NA19379,-0.0666,-0.0108,-0.0005,0.0642,0.0057,0.0064,0.0176,-0.02,-0.0139,-0.0056,-0.0781,-0.0672,-0.0074,0.0441,0.0323
AFR,LWK,NA19380,NA19380,-0.0633,-0.0112,-0.0,0.0709,0.0083,0.0048,0.0053,0.007,0.0394,-0.0128,-0.0271,0.0204,-0.0347,-0.0054,-0.0476
AFR,LWK,NA19383,NA19383,-0.0634,-0.011,0.0014,0.062,0.0014,-0.0196,0.0076,-0.0319,-0.0034,0.0091,-0.0455,0.0463,-0.0184,0.006,-0.0192
AFR,LWK,NA19384,NA19384,-0.0672,-0.0117,0.0019,0.0831,0.0027,0.0019,0.0242,0.0241,-0.0294,0.0549,0.0622,-0.0206,-0.1255,-0.0413,0.0307
AFR,LWK,NA19385,NA19385,-0.0649,-0.0105,0.002,0.0791,0.0111,0.0154,0.0049,-0.134,-0.014,0.0897,0.0294,-0.1117,-0.1151,0.029,-0.1173
AFR,LWK,NA19390,NA19390,-0.0647,-0.0101,0.0025,0.0746,-0.0072,-0.0197,0.0041,0.0053,-0.0077,-0.0391,-0.0224,0.0091,-0.0002,-0.0697,0.0612
AFR,LWK,NA19391,NA19391,-0.0672,-0.011,0.0029,0.0577,0.0082,-0.0142,-0.0012,-0.002,0.0342,-0.0189,0.0101,0.0625,0.0263,-0.0265,0.0244
AFR,LWK,NA19393,NA19393,-0.0653,-0.0111,0.0023,0.0774,0.0042,-0.0065,0.0473,-0.0594,-0.0174,0.0323,0.0627,0.0339,0.0335,0.0213,0.0468
AFR,LWK,NA19394,NA19394,-0.0638,-0.0104,0.0024,0.0697,0.0218,-0.0038,-0.0022,-0.0454,-0.0534,-0.0283,-0.0375,0.0459,-0.0256,-0.0814,-0.0915
AFR,LWK,NA19395,NA19395,-0.064,-0.0106,0.0005,0.0748,-0.0005,-0.0006,-0.0511,-0.0251,-0.0089,-0.0608,-0.0265,0.0236,0.072,-0.0008,-0.0139
AFR,LWK,NA19397,NA19397,-0.0654,-0.011,0.0035,0.0721,0.0134,-0.0152,0.0576,0.0085,0.0312,0.0209,-0.0242,-0.0195,-0.016,0.0276,0.0625
AFR,LWK,NA19399,NA19399,-0.0689,-0.0116,0.0013,0.0675,-0.0029,0.0079,-0.0187,-0.0535,-0.0414,-0.1059,-0.095,0.0214,0.0597,0.0789,0.0384
AFR,LWK,NA19401,NA19401,-0.0634,-0.0108,0.0014,0.0652,-0.0047,-0.005,0.0046,0.0095,-0.0365,-0.0281,-0.0527,0.0065,-0.054,0.0447,-0.0325
AFR,LWK,NA19403,NA19403,-0.0644,-0.0092,0.0012,0.0726,-0.0029,-0.0006,-0.0056,0.0087,0.028,-0.0199,0.0163,-0.0679,-0.033,-0.0588,0.0015
AFR,LWK,NA19404,NA19404,-0.0639,-0.0113,0.0005,0.0635,0.006,0.0056,0.0206,-0.0035,-0.0294,-0.0111,0.0111,-0.0296,0.0151,-0.0003,-0.0525
AFR,LWK,NA19428,NA19428,-0.0655,-0.011,0.0002,0.0596,0.0006,0.0101,-0.0439,-0.0829,0.0293,-0.0124,0.0224,-0.0857,-0.0419,-0.0046,-0.012
AFR,LWK,NA19429,NA19429,-0.0649,-0.0115,0.0009,0.0659,0.0008,0.0009,-0.0152,0.0177,0.0406,-0.0132,-0.0045,0.0188,-0.005,-0.0483,-0.0084
AFR,LWK,NA19430,NA19430,-0.0645,-0.0109,0.0023,0.0818,-0.0054,-0.0144,0.0389,-0.0398,0.0638,-0.036,0.0446,0.0298,0.1207,-0.0499,0.118
AFR,LWK,NA19431,NA19431,-0.0662,-0.0111,0.0016,0.0686,0.0095,0.0023,0.0044,-0.0489,-0.0029,-0.0352,0.0126,0.0019,-0.09,-0.0507,0.0118
AFR,LWK,NA19434,NA19434,-0.0636,-0.0108,0.0016,0.085,0.0078,0.0101,-0.0137,-0.0318,-0.0754,0.0497,-0.0164,0.0472,0.1538,0.0597,-0.0814
AFR,LWK,NA19435,NA19435,-0.0632,-0.0106,-0.0001,0.0613,-0.0047,0.0029,0.019,0.0087,-0.0301,0.0177,-0.0086,-0.0238,0.0098,-0.0116,-0.0263
AFR,LWK,NA19436,NA19436,-0.0653,-0.0106,0.001,0.0724,0.0012,-0.001,0.027,0.0219,-0.0393,-0.0439,0.0102,-0.024,0.062,0.0414,0.0475
AFR,LWK,NA19437,NA19437,-0.062,-0.0103,0.0012,0.0522,-0.0056,-0.0122,-0.0096,0.0067,-0.0496,0.0436,-0.0734,-0.0171,-0.0526,0.035,0.0684
